*,Abkhaz (Аԥсуа бызшәа),阿布哈兹语 (Аԥсуа бызшәа),
*,Slovak (Slovenčina),斯洛伐克语 (Slovenčina),
*,Indonesian (Bahasa indonesia),印度尼西亚语 (Bahasa indonesia),
*,Uzbek (Oʻzbek),乌兹别克语 (Oʻzbek),
*,Persian (ﯽﺳﺭﺎﻓ),波斯语 (ﯽﺳﺭﺎﻓ),
*,Kyrgyz (Кыргыз тили),吉尔吉斯语 (Кыргыз тили),
*,Croatian (Hrvatski),克罗地亚语 (Hrvatski),
*,Nepali (नेपाली),尼泊尔语 (नेपाली),
*,Dutch (Nederlandse taal),荷兰语 (Nederlandse taal),
*,Only Foreign,仅外语,
*,Only Missing,仅缺失项,
# shared
*,倍率,缩放,# FROM <__init__.py & anm_export.py & model_export.py & anm_import.py & model_import.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,Show Bones in Front,骨骼显示在前方,# FROM <__init__.py & model_import.py>
Operator,CM3D2モーション (.anm),CM3D2 动画 (.anm),# FROM <anm_export.py & anm_import.py>
*,アーマチュア,骨架,# FROM <anm_export.py & model_export.py & model_import.py>
*,アーマチュア内プロパティ,骨架内属性,# FROM <anm_export.py & model_export.py>
*,ファイルをバックアップ,备份文件,# FROM <anm_export.py & model_export.py & tex_export.py & mate_export.py & mate_export.py>
*,ファイルに上書きする場合にバックアップファイルを複製します,覆盖文件时会复制一份备份文件,# FROM <anm_export.py & model_export.py & tex_export.py & mate_export.py & mate_export.py>
*,エクスポート時のメッシュ等の拡大率です,导出时网格等的缩放比例,# FROM <anm_export.py & model_export.py>
*,ファイルバージョン,文件版本,# FROM <anm_export.py & model_export.py & tex_export.py & mate_export.py & mate_export.py>
*,ファイルを開くのに失敗しました、アクセス不可かファイルが存在しません。file={},打开文件失败。文件不存在或无法访问。file={},# FROM <anm_export.py & anm_import.py & mate_export.py & mate_export.py & mate_import.py & mate_import.py & model_export.py & model_import.py & tex_import.py>
*,インポート時のメッシュ等の拡大率です,导入时网格等的缩放比例,# FROM <anm_import.py & model_import.py>
*,Reverse Name,反转名称,# FROM <common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Reverse name filtering,反转名称过滤,# FROM <common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Order by Invert,反转顺序,# FROM <common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Invert the sort by order,反转排序顺序,# FROM <common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Sort groups by their name (case-insensitive),按组名称排序（不区分大小写）,# FROM <common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Order by:,排序依据：,# FROM <common.py & misc_MESH_MT_shape_key_specials.py>
*,マテリアル情報の貼付けを中止します。,已取消粘贴材质信息,# FROM <mate_export.py & misc_MATERIAL_PT_context_material.py> FROM <mate_export.py & misc_MATERIAL_PT_context_material.py>
*,テクスチャを探す,查找纹理,# FROM <mate_import.py & misc_MATERIAL_PT_context_material.py>
*,Scale,缩放,# FROM <menu_OBJECT_PT_cm3d2_menu.py & menu_OBJECT_PT_cm3d2_menu.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_OBJECT_PT_transform.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py>
*,The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export.,导入时网格的缩放比例。建议和导出时使用相同的值,# FROM <menu_OBJECT_PT_cm3d2_menu.py & menu_OBJECT_PT_cm3d2_menu.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_OBJECT_PT_transform.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py>
*,description,描述,# FROM <menu_OBJECT_PT_cm3d2_menu.py & menu_file.py>
*,Icon,图标,# FROM <menu_OBJECT_PT_cm3d2_menu.py & common.py>
*,Property,属性,# FROM <menu_OBJECT_PT_cm3d2_menu.py & menu_file.py>
*,Attach Point,附着点,# FROM <menu_OBJECT_PT_cm3d2_menu.py & menu_file.py>
*,Index,索引,# FROM <menu_file.py & menu_file.py & menu_file.py & common.py>
*,Name,名称,# FROM <menu_file.py & menu_file.py & menu_file.py & common.py & menu_file.py & menu_file.py & common.py & misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
Operator,ボーン情報をコピー,复制骨骼信息,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
*,カスタムプロパティのボーン情報をクリップボードにコピーします,将自定义属性中的骨骼信息复制到剪贴板,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
Operator,ボーン情報を貼付け,粘贴骨骼数据,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
*,カスタムプロパティのボーン情報をクリップボードから貼付けます,将剪贴板中的骨骼信息粘贴到自定义属性,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
Operator,ボーン情報を削除,移除骨骼数据,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
*,カスタムプロパティのボーン情報を全て削除します,从骨架的自定义属性中移除所有骨骼数据,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py & misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py> FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
Operator,コピー,复制,# FROM <misc_DATA_PT_context_arm.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_OBJECT_PT_context_object.py>
Operator,貼付け,粘贴,# FROM <misc_DATA_PT_context_arm.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_OBJECT_PT_context_object.py>
*,ボーン情報をクリップボードにコピーしました,骨骼数据已复制,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py & misc_TEXT_HT_header.py>
*,ボーン情報をクリップボードから貼付けました,骨骼数据已粘贴,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py & misc_TEXT_HT_header.py>
*,ボーン情報を削除しました,骨骼数据已移除,# FROM <misc_DATA_PT_context_arm.py & misc_OBJECT_PT_context_object.py>
*,CM3D2用,用于 CM3D2,# FROM <misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_IMAGE_PT_image_properties.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
Operator,CM3D2 → Blender,CM3D2 → Blender,# FROM <misc_DATA_PT_context_arm.py & misc_DATA_PT_vertex_groups.py>
Operator,Blender → CM3D2,Blender → CM3D2,# FROM <misc_DATA_PT_context_arm.py & misc_DATA_PT_vertex_groups.py>
*,変換できる名前が見つかりませんでした,未找到可转换的名称。操作中止,# FROM <misc_DATA_PT_context_arm.py & misc_DATA_PT_context_arm.py & misc_DATA_PT_vertex_groups.py & misc_DATA_PT_vertex_groups.py>
*,Preserve Shape Key Values,保留形态键数值,# FROM <misc_DATA_PT_modifiers.py & misc_VIEW3D_MT_pose_apply.py>
*,Show filters,显示过滤器,# FROM <misc_DATA_PT_modifiers.py & misc_MESH_MT_shape_key_specials.py>
*,Only Selected,仅选中,# FROM <misc_DOPESHEET_MT_editor_menus.py & misc_DOPESHEET_MT_editor_menus.py & misc_VIEW3D_MT_pose_apply.py>
*,CM3D2,CM3D2,# FROM <misc_INFO_MT_add.py & misc_MATERIAL_PT_context_material.py>
*,テクスチャ名,纹理名称,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py>
*,テクスチャ,纹理,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,オフセット:,偏移:,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,解説,描述,# FROM <misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,色の透明度,Alpha,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,正確な値: ,精确值：,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
Operator,自動設定,自动设置,# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,ぼかし効果,平滑效果,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,増減両方,增减两者,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,増加のみ,仅增加,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,減少のみ,仅减少,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,範囲倍率,范围倍率,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,強さ,强度,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,対象,目标,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,アクティブより上,活动项以上,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,アクティブより下,活动项以下,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,参照元の分割,源对象细分,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_shape_key_specials.py>
*,{:.2f} Seconds,{:.2f} 秒,# FROM <misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,色,颜色,# FROM <misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_TEXTURE_PT_context_texture.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py> FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,モード,模式,# FROM <misc_RENDER_PT_render.py & misc_VIEW3D_PT_tools_weightpaint.py & misc_VIEW3D_PT_tools_weightpaint.py>
Operator,texで保存,另存为 .tex,# FROM <misc_TEXTURE_PT_context_texture.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,NodeName,节点名称,# FROM <misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py>
*,CM3D2本体のインストールフォルダからtexファイルを探して開きます,从 CM3D2 本体的安装文件夹中查找并打开 tex 文件,# FROM <misc_TEXTURE_PT_context_texture.py & mate_import.py & misc_MATERIAL_PT_context_material.py>
Operator,画像を表示,显示图像,# FROM <misc_TEXTURE_PT_context_texture.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>
*,画像名,图像名称,# FROM <misc_TEXTURE_PT_context_texture.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py & misc_RENDER_PT_bake.py>
*,減衰タイプ,衰减类型,# FROM <misc_VIEW3D_PT_tools_weightpaint.py & misc_VIEW3D_PT_tools_weightpaint.py & misc_MESH_MT_shape_key_specials.py>
*,全て,全部,# FROM <misc_VIEW3D_PT_tools_weightpaint.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_RENDER_PT_bake.py>
*,アクティブのみ,仅活动项,# FROM <misc_VIEW3D_PT_tools_weightpaint.py & misc_VIEW3D_PT_tools_weightpaint.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_shape_key_specials.py & misc_MESH_MT_vertex_group_specials.py & misc_MESH_MT_vertex_group_specials.py>
*,値,值,# FROM <misc_VIEW3D_PT_tools_weightpaint.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_VIEW3D_PT_tools_weightpaint.py> FROM <misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py & misc_TEXTURE_PT_context_texture.py & misc_VIEW3D_PT_tools_weightpaint.py>
Operator,CM3D2モデル (.model),CM3D2 模型 (.model),# FROM <model_export.py & model_import.py>
*,テキスト,文本,# FROM <model_export.py & model_export.py & model_import.py>
*,マテリアル,材质,# FROM <model_export.py & model_import.py>
*,種類に合わせてマテリアルを装飾,按类型修饰材质,# FROM <model_import.py & mate_import.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py & misc_MATERIAL_PT_context_material.py>
*,割り当てのない頂点グループを削除,移除未分配顶点的顶点组,# FROM <model_import.py & misc_MESH_MT_vertex_group_specials.py>
